адрес	название	категория	улица	номер дома	широта	долгота	wmid	wikimapia	ссылки	автор	описание
Александровская_27	Дом Кириллова	многоквартирный жилой дом,памятник архитектуры (истории)	Александровская ул.	27	47.208949	38.932415	38185132	http://wikimapia.org/38185132/ru/%D0%94%D0%BE%D0%BC-%D0%9A%D0%B8%D1%80%D0%B8%D0%BB%D0%BB%D0%BE%D0%B2%D0%B0		klunny	С конца 1880-х годов одноэтажное здание находилось в собственности изюмского крестьянина Василия Кириллова, затем его родственников Александры и Степана. В 1910-х годах его приобрел гвардии ротмистр Алексей Иванович Боков. Оценивался в 12 000 рублей.
Александровская_95а	Дом Лободы	индивидуальный жилой дом,ворота,строение 1860-х годов,строение 19го века,объект культурного наследия регионального значения	Александровская ул.	95а	47.216287	38.916326	40698976	http://wikimapia.org/40698976/ru/%D0%94%D0%BE%D0%BC-%D0%9B%D0%BE%D0%B1%D0%BE%D0%B4%D1%8B		yggasser	Дом в пять окон на высоком цоколе.
Александровская_61	Дом Николая Скиади	строение 1860-х годов	Александровская ул.	61	47.212107	38.925524	38188150	http://wikimapia.org/38188150/ru/%D0%94%D0%BE%D0%BC-%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D1%8F-%D0%A1%D0%BA%D0%B8%D0%B0%D0%B4%D0%B8		klunny	В угловом одноэтажном доме на углу Полтавского переулка в 1860-е годы проживала семья греческого купца третьей гильдии Николая Скиади. Еще в 1830- х годах он занимался покупкой и перепродажей пшеницы за границу. В 1870-х годах дом у него купил купец первой гильдии Дмитрий Дамианович (Иванович) Диамантиди, оценщик при городской думе. Николай Диамантиди являлся Португальским консулом в Таганроге и членом комитета таганрогских морских классов, принимал участие в работе Первого российского агентства Таганрогского Общества взаимного страхования. В январе 1898 года на Большом Биржевом спуске в районе Купеческой биржи открыл свои действия, отличавшийся большой производительностью, паровой маслобойный завод фирмы «Дмитрий Диамантиди и сыновья». В 1910 году завод перешел в собственность М.И. Ваксову. Дом на два окна и две парадные по улице. По переулку - три окна. Дальше вдоль улицы - ворота и кирпичный забор. Ворота не сохранились, забор в одном месте пробит и устроен гараж. Двор уплотнен.
Итальянский_12	Дом часового мастера Файста	индивидуальный жилой дом,памятник архитектуры (истории),строение 19го века	Итальянский пер.	12	47.212875	38.931137	38415466	http://wikimapia.org/38415466/ru/%D0%94%D0%BE%D0%BC-%D1%87%D0%B0%D1%81%D0%BE%D0%B2%D0%BE%D0%B3%D0%BE-%D0%BC%D0%B0%D1%81%D1%82%D0%B5%D1%80%D0%B0-%D0%A4%D0%B0%D0%B9%D1%81%D1%82%D0%B0		klunny	Тут проживал житель из Варшавы, знаменитый и известный на юге России часовых дел мастер Франц Файст. Франц Файст не только изготовил для Успенского собора оригинальные для того времени башенные часы, но и принимал заказы на их изготовление с ручательством безотказной и точной их работы. Скончался от старческой немощи в возрасте 82-х лет 16 февраля 1888 года. Его наследники владели домом до установления в городе Советской власти. Здание оценивалось в 2000 рублей.
Розы_Люксембург_92		ворота,медицинский центр,строение 19го века	ул. Розы Люксембург	92	47.209996	38.916571	33136523	http://wikimapia.org/33136523/ru/%D1%83%D0%BB-%D0%A0%D0%BE%D0%B7%D1%8B-%D0%9B%D1%8E%D0%BA%D1%81%D0%B5%D0%BC%D0%B1%D1%83%D1%80%D0%B3-92		klunny	Дом на два окна с двумя парадными.
Украинский_24	Доходный дом	ворота,многоквартирный жилой дом,памятник архитектуры (истории),строение 19го века	Украинский пер.	24	47.208984	38.934468	34072536	http://wikimapia.org/34072536/ru/%D0%94%D0%BE%D1%85%D0%BE%D0%B4%D0%BD%D1%8B%D0%B9-%D0%B4%D0%BE%D0%BC		klunny	Большое здание, на два этажа с балконом. Въезд по центру. Недавно восстановлено. Сохранились кованные ворота.
Розы_Люксембург_65	Дом Захаровых	индивидуальный жилой дом,достопримечательность,строение 19го века	ул. Розы Люксембург	65	47.206975	38.924623	40733493	http://wikimapia.org/40733493/ru/%D0%94%D0%BE%D0%BC-%D0%97%D0%B0%D1%85%D0%B0%D1%80%D0%BE%D0%B2%D1%8B%D1%85		klunny	Дом на пять окон. По улице справа - пристройка с дверью. Слева парадная, с пристроенным тамбуром. В 1910-22 годах тут жил Владимир Григорьевич Захаров, ставший впоследствии популярным советским композитором, известным народу по многим песням, в том числе таким, как 'Лучше нету того цвету...', 'Ой, туманы мои, растуманы', 'Провожанье', 'Русская красавица', 'Песня о России' и другим. Композитор жил тут с 11 до 20 лет (с 1912 по 1921).
Петровская_105	Дом Штальберга	памятник архитектуры (истории),выявленный объект культурного наследия	Петровская ул.	105	47.219643	38.921799	25538888	http://wikimapia.org/25538888/ru/%D0%94%D0%BE%D0%BC-%D0%A8%D1%82%D0%B0%D0%BB%D1%8C%D0%B1%D0%B5%D1%80%D0%B3%D0%B0		klunny	Дом Штальберга — объект культурного наследия регионального значения, который располагается по улице Петровской,105, в городе Таганроге Ростовской области. Во второй четверти XIX века в городе Таганроге по современному адресу — улица Петровская, 105 — был построен новый дом[2] в стиле классицизма. В 1840-х годах его владельцем был немец Эбергард Карлович Лоренц, который числился надворным советником. Он преподавал латинский и немецкий языки в мужской гимназии до наступления 1860-х годов. Супругу Эбергарда Лоренца звали Аделаидой Людвиговной. Она инициировала открытие в 1848 году в доме своего супруга «Девичьего пансионата». По состоянию на 1863 год в нем обучалось 32 девицы. Ученицы прибывали сюда из Нахичевани-на-Дону, Ростова-на-Дону и Новочеркасска[3]. Это была школа закрытого типа. Согласно существовавшему Уставу учебных заведений, который был утвержден 8 декабря 1828 года, содержание пансионов при гимназиях происходило за счет сделанных пожертвований[2]. В третьей четверти XIX века купчихой третьей гильдии Матреной Никитичной Баташевой были сделаны некоторые пристройки на территории домовладения. Основной деятельностью купчихи была торговля сахарными товарами[2]. 2 марта 1882 года[2] (по другим данным — 2 марта 1886 года)[3] в доме было открыто новое учебное заведение. Спустя несколько лет оно стало двухкомплектным. Здесь преподавали учителя: М. Н. Греков, Е. Грекова, А. И. Блонская. Попечителем училища был Ахиллес Николаевич Алфераки[2]. К периоду открытия этого учебного заведения и началу его работы умер Эбергард Карлович Лоренц. Его жена Аделаида Людвиговна дожила до 1899 года. У них было несколько детей: дочери София и Луиза, сын Карл. Луиза не состояла в браке, умерла в 1918 году. Карл Эбергардович обучался в гимназии вместе с писателем Антоном Павловичем Чеховым[3]. В начале XX века дом стал собственностью купца из Тирасполя Александра Моисеевича Штальберга, по фамилии которого строение упоминается в исторических источниках. Некоторую часть помещений домовладения арендовала А. Е. Кузовенкова-Анино[3], которая обустроила здесь с 1902 года родительский приют. В 1910-х годах[2] Александр Иванович Перов открыл фотоателье в этом доме, которое пользовалось большой популярностью у местных жителей. Жену Перова звали Анастасия Дмитриевна, в семье было несколько детей — Антонина, Вера, Надежда и Елена[3]. В 1920-х годах в доме располагался клуб металлистов котельного завода. В 1992 года дом по улице Петровской, 105, признан объектом культурного наследия и памятником архитектуры. Охраняется законом + Пр-з № 124 от 31.12.02 г.
Социалистическая_10		многоквартирный жилой дом,строение 19го века	Социалистическая ул.	10	47.222521	38.923326	38196047	http://wikimapia.org/38196047/ru/%D0%A1%D0%BE%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F-%D1%83%D0%BB-10		klunny	Длинный (11 окон) полутороэтажный дом. Слева - парадная, справа вторая дверь.
Петровская_92	Центральная городская публичная библиотека им. А. П. Чехова	библиотека,модерн,памятник архитектуры (истории),строение 1914 года,объект культурного наследия регионального значения	Петровская ул.	92	47.216714	38.927657	94000	http://wikimapia.org/94000/ru/%D0%A6%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F-%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F-%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D1%87%D0%BD%D0%B0%D1%8F-%D0%B1%D0%B8%D0%B1%D0%BB%D0%B8%D0%BE%D1%82%D0%B5%D0%BA%D0%B0-%D0%B8%D0%BC-%D0%90-%D0%9F-%D0%A7%D0%B5%D1%85%D0%BE%D0%B2%D0%B0	http://www.taglib.ru	klunny	Существует с 1876 года. Гимназистом библиотеку посещал Антон Чехов. В 1904-м (год смерти писателя) библиотеке было присвоено имя А. П. Чехова. Нынешнее здание по проекту Ф. О. Шехтеля построено на месте старого в 1910-1912 гг. 
